Year,ENSO_phase,Year-Month,nzd_188_Average_Value,Value,Smooth_Value,Month,Bias,Bias_smooth
2013,Neutral,2013-04-01,362.3461854334177,0.2,0.4599989954767927,4,7.162562153774957,2.8861814158922856
2013,Neutral,2013-05-01,372.0781006702276,0.8,0.5198734987257058,5,16.894477390584882,3.9838676660331385
2013,Neutral,2013-06-01,360.3363986573712,1.2,0.5573212513011949,6,5.15277537772846,3.405296461487367
2013,Neutral,2013-07-01,356.5542017868517,0.8,0.5704624863066088,7,1.3705785072089611,1.6768562225027601
2013,Neutral,2013-08-01,350.32700780654955,0.2,0.5674592922937158,8,-4.8566154730932,-0.5194295649599773
2013,Neutral,2013-09-01,351.949285939837,0.3,0.5600602814657425,9,-3.234337339805734,-2.52881531334745
2013,Neutral,2013-10-01,353.06110179976923,-0.1,0.554272514583827,10,-2.1225214798735124,-4.08283661283485
2013,Neutral,2013-11-01,342.32016247235134,0.7,0.5520396105112044,11,-12.863460807291403,-4.9758646998127425
2013,Neutral,2013-12-01,346.77010067022763,0.1,0.5450821800707384,12,-8.41352260941511,-4.827679992035236
2014,El Niño,2014-01-01,356.47129182655965,1.4,0.5274327151710545,1,1.2876685469169047,-3.960552949966105
2014,El Niño,2014-02-01,350.91069825352474,0.1,0.486169298657173,2,-4.272925026118003,-3.016118603338184
2014,El Niño,2014-03-01,354.07301631041054,0.9,0.422003877199567,3,-1.110606969232208,-2.1685915798686195
2014,El Niño,2014-04-01,354.22755477042165,0.8,0.3296145021771904,4,-0.9560685092210974,-1.7041209909354604
2014,El Niño,2014-05-01,357.32208433130336,0.5,0.2111479143877545,5,2.138461051660613,-1.8146290574694248
2014,El Niño,2014-06-01,357.3527050941834,0.2,0.0761006280324519,6,2.169081814540675,-2.6254144800449755
2014,El Niño,2014-07-01,346.7907286085375,-0.2,-0.0615175288498332,7,-8.392894671105239,-3.9097033630034974
2014,El Niño,2014-08-01,348.52944852998934,-0.7,-0.1857608005332243,8,-6.654174749653407,-5.013711367851796
2014,El Niño,2014-09-01,344.2199632866453,-0.7,-0.282847219903566,9,-10.963659992997464,-5.682938958537039
2014,El Niño,2014-10-01,350.9997549964655,-0.6,-0.3470298073383711,10,-4.183868283177219,-5.808990579920523
2014,El Niño,2014-11-01,355.33768969957146,-0.9,-0.3790795954041591,11,0.15406641992871073,-5.753785573124344
2014,El Niño,2014-12-01,344.33458249129615,-0.6,-0.3837202759277883,12,-10.8490407883466,-5.734505615717411
2015,El Niño,2015-01-01,352.138164869072,-0.8,-0.3738149220579252,1,-3.0454584105707454,-5.442163557355774
2015,El Niño,2015-02-01,354.6570749031956,0.2,-0.3656059776318665,2,-0.5265483764471242,-5.023286194264526
2015,El Niño,2015-03-01,343.3362539025398,0.7,-0.3819950283297529,3,-11.84736937710295,-4.410943462304038
2015,El Niño,2015-04-01,345.9866682556588,-0.0,-0.4370460664312275,4,-9.196955023983946,-3.1377140071306084
2015,El Niño,2015-05-01,357.22408748267367,-0.7,-0.5279169118982808,5,2.040464203030922,-1.3984841138017434
2015,El Niño,2015-07-01,361.40252170836845,-1.1,-0.781122723876722,7,6.2188984287257085,0.07220800031052155
2015,El Niño,2015-08-01,352.39841883728303,-1.4,-0.9100411038032798,8,-2.7852044423597135,0.8461058945693417
2015,El Niño,2015-09-01,362.7228647877655,-1.6,-1.0102397771135927,9,7.539241508122757,1.042393535116084
2015,El Niño,2015-11-01,353.1913812434555,-0.5,-1.0785078280963925,11,-1.9922420361872355,0.4568408442033156
2015,El Niño,2015-12-01,361.8503109624866,-0.6,-1.04729083483277,12,6.666687682843872,-0.5361558977908593
2016,Neutral,2016-01-01,348.5164653730199,-2.2,-0.970527204784078,1,-6.667157906622833,-1.7803221694883626
2016,Neutral,2016-02-01,343.6995857359015,-2.0,-0.83748375424126,2,-11.484037543741238,-2.4778792667863594
2016,Neutral,2016-03-01,353.33721403622184,0.1,-0.6566378119205111,3,-1.8464092434209078,-2.266282921893946
2016,Neutral,2016-05-01,358.64612913095965,0.4,-0.2462825663586556,5,3.462505851316905,-1.5851009968019811
2016,Neutral,2016-06-01,350.44004835893384,0.6,-0.0580580118749133,6,-4.743574920708909,-0.8365063000142892
2016,Neutral,2016-07-01,360.89607505146313,0.4,0.0936752361601303,7,5.712451771820383,0.026881494025303543
2016,Neutral,2016-08-01,357.9739273311326,0.7,0.2028319297689278,8,2.7903040514898407,0.704468909372304
2016,Neutral,2016-09-01,349.5509814279746,1.2,0.268113145408929,9,-5.632641851668154,1.4020343041432937
2016,Neutral,2016-10-01,356.3886896447426,-0.3,0.295988210634945,10,1.2050663650998672,2.511125997049332
2016,Neutral,2016-11-01,358.2726050858282,-0.1,0.307487185104772,11,3.0889818061854726,3.79676555697728
2016,Neutral,2016-12-01,365.21213801409,0.3,0.3143278126850352,12,10.028514734447242,4.9076534488772
2017,La Niña,2017-01-01,361.08947621572247,0.2,0.3218608499750984,1,5.905852936079725,5.429453056369448
2017,La Niña,2017-02-01,360.19133501016245,-0.1,0.3352131815011204,2,5.007711730519702,5.403905129890814
2017,La Niña,2017-03-01,362.794138452277,0.9,0.3576076160084008,3,7.61051517263428,4.915179845432365
2017,La Niña,2017-04-01,354.4175659610427,-0.2,0.3854667562812823,4,-0.7660573186000192,4.012161353401082
2017,La Niña,2017-05-01,363.8531814566583,0.3,0.423688086103978,5,8.669558177015574,2.9837874534174986
2017,La Niña,2017-06-01,353.6348902979396,0.4,0.4680211711938052,6,-1.5487329817031537,1.6934352301223983
2017,La Niña,2017-07-01,354.2279033549392,0.8,0.5122829509227064,7,-0.9557199247035442,0.5108714544477582
2017,La Niña,2017-09-01,359.8626037257757,0.6,0.5761046074777214,9,4.678980446132982,-0.4828931260004605
2017,La Niña,2017-10-01,355.19671826625387,0.9,0.589394679014975,10,0.013094986611122295,-1.3374662469334961
2017,La Niña,2017-11-01,340.7295431111716,0.9,0.5859516212299095,11,-14.454080168471137,-1.6427256151997223
2017,La Niña,2017-12-01,356.67021291077424,-0.1,0.5674825150183432,12,1.4865896311314941,-0.8682644040954912
2018,La Niña,2018-01-01,357.8803991744982,1.1,0.5406014471943791,1,2.6967758948554774,0.37531130057291207
2018,La Niña,2018-03-01,352.65344505337,1.5,0.4550827191646017,3,-2.530178226272767,1.6871249033585205
2018,La Niña,2018-04-01,364.0724825080607,0.5,0.3906472792322978,4,8.88885922841797,2.873055547795503
2018,La Niña,2018-05-01,365.0158723013122,0.4,0.3137905483600794,5,9.83224902166944,3.363378275067353
2018,La Niña,2018-06-01,357.53661538414286,0.1,0.2318249406919767,6,2.3529921045001174,3.124151415327751
2018,La Niña,2018-07-01,354.76831493917854,0.2,0.1534098930538929,7,-0.4153083404642075,2.6975679315312417
2018,La Niña,2018-08-01,353.76149964056697,-0.3,0.0851450775734198,8,-1.422123639075778,2.557139311336549
2018,La Niña,2018-09-01,356.289973583921,-0.9,0.034358136799182,9,1.1063503042782372,2.8991360990951467
2018,La Niña,2018-10-01,365.4119823036728,0.4,0.0023588214427196,10,10.228359024030055,3.5654252208827604
2018,La Niña,2018-11-01,353.59913025021075,-0.1,-0.0241424636719149,11,-1.5844930294319965,4.238203387362328
2018,La Niña,2018-12-01,363.8902291062624,1.0,-0.0522221703057115,12,8.706605826619636,5.193085707928767
2019,El Niño,2019-01-01,362.24778233820086,-0.0,-0.0901420242247862,1,7.064159058558118,6.187102643526132
2019,El Niño,2019-02-01,357.0090946808323,-1.4,-0.1297227797842283,2,1.8254714011895317,7.290207992526988
2019,El Niño,2019-03-01,363.43818744290337,0.3,-0.1613767222106152,3,8.254564163260625,8.65046850306187
2019,El Niño,2019-04-01,366.1326846665117,0.1,-0.1953642182963955,4,10.949061386868948,9.92924711780076
2019,El Niño,2019-05-01,371.8772441091924,-0.4,-0.2347366235494764,5,16.693620829549673,10.752646498234665
2019,El Niño,2019-06-01,368.6331698843245,0.5,-0.2779302275668846,6,13.449546604681757,10.837596645347084
2019,El Niño,2019-07-01,364.1765009977338,-0.4,-0.3259635602026863,7,8.992877718091052,10.430146350545545
2019,El Niño,2019-08-01,355.94965001792445,-0.1,-0.3676999915052149,8,0.7660267382817096,10.008971534401669
2019,El Niño,2019-09-01,370.7461460750292,-1.2,-0.3931597108946364,9,15.562522795386428,9.924741195068593
2019,El Niño,2019-10-01,365.7052915028221,-0.4,-0.3881800954238483,10,10.521668223179347,9.704923371102554
2019,El Niño,2019-11-01,360.0082464998595,-0.8,-0.3512054016630194,11,4.824623220216779,9.379101749887168
2019,El Niño,2019-12-01,365.593431372549,-0.6,-0.2808645721913205,12,10.409808092906246,9.049601462231923
2020,La Niña,2020-01-01,366.25432844428815,0.2,-0.1827989651869384,1,11.070705164645403,8.413113809167076
2020,La Niña,2020-02-01,364.3356707354106,-0.1,-0.06763642988757,2,9.152047455767843,7.287473669697213
2020,La Niña,2020-04-01,368.3287430665024,0.2,0.1948872831865157,4,13.145119786859652,5.727207994704764
2020,La Niña,2020-06-01,353.31540931262293,0.4,0.4685752383531332,6,-1.8682139670198126,3.9529075776883156
2020,La Niña,2020-08-01,351.3495887945683,1.1,0.7209141517943374,8,-3.834034485074426,2.8458219351186482
2020,La Niña,2020-09-01,356.2536196748154,0.9,0.8251998433455503,9,1.0699963951726659,2.768756197263404
2020,La Niña,2020-10-01,354.0232248513441,0.5,0.9107098456562676,10,-1.160398428298663,3.4895899229012515
2020,La Niña,2020-11-01,367.5852859477124,0.7,0.9769538309230904,11,12.401662668069662,4.624906657467502
2020,La Niña,2020-12-01,365.2228067768718,1.8,1.0170241300042413,12,10.039183497229033,5.377149760855179
2021,La Niña,2021-01-01,357.7510673298222,1.9,1.0196856701497694,1,2.5674440501794606,5.6413809252842615
2021,La Niña,2021-02-01,358.22983727701603,1.5,0.9859373765784076,2,3.046213997373286,5.727874822183182
2021,La Niña,2021-03-01,353.4789336904352,0.4,0.9305330859127988,3,-1.7046895892075327,5.673133224716503
2021,La Niña,2021-04-01,367.403369805232,0.3,0.8762588632665481,4,12.219746525589244,5.274822143963137
2021,La Niña,2021-05-01,376.9757791033643,0.5,0.8376111942858729,5,21.792155823721544,3.6735192978091353
2021,La Niña,2021-06-01,347.89673166587073,0.4,0.8200825198784517,6,-7.286891613772013,0.6283356250338044
2021,La Niña,2021-07-01,347.417831909532,1.4,0.8238901060412446,7,-7.765791370110719,-2.4879245398402317
2021,La Niña,2021-08-01,347.50060244537025,0.6,0.8426874293981125,8,-7.683020834272497,-5.007407806187354
2021,La Niña,2021-09-01,351.47139883645764,0.8,0.8791296836660211,9,-3.7122244431851072,-6.732321476714997
2021,La Niña,2021-11-01,338.635058187355,1.0,0.9991653941581602,11,-16.54856509228773,-7.703169983542679
2021,La Niña,2021-12-01,351.87493169701526,1.5,1.074386201916231,12,-3.308691582627489,-7.691479978340423
2022,La Niña,2022-01-01,345.98147849261164,0.5,1.1517560856765825,1,-9.202144787031102,-7.256572252216307
2022,La Niña,2022-02-01,354.37920411360227,1.1,1.2319388519590542,2,-0.8044191660404749,-6.567424941135023
2022,La Niña,2022-03-01,346.9352709728454,1.8,1.3054146184447888,3,-8.248352306797358,-5.966293985154328
2022,La Niña,2022-04-01,350.95410448317875,1.7,1.3606019582530682,4,-4.229518796463992,-5.282166881334025
2022,La Niña,2022-05-01,355.50981056840186,1.4,1.3936473410899752,5,0.3261872887591153,-4.547277239490253
2022,La Niña,2022-06-01,338.83074074074074,1.7,1.406000331063887,6,-16.35288253890201,-3.700107064004191
2022,La Niña,2022-07-01,354.87307655655235,0.8,1.3992097525786524,7,-0.3105467230903969,-2.245094797956025
2022,La Niña,2022-08-01,355.247590447335,1.0,1.3794181748652452,8,0.06396716769228306,-0.813568327374103
2022,La Niña,2022-10-01,357.5365752209416,1.7,1.282023280159371,10,2.3529519412988407,0.1354403984242551
2022,La Niña,2022-12-01,366.00969195046446,2.1,1.0691241604201882,12,10.826068670821712,0.22105504800686415
2023,El Niño,2023-03-01,351.61965750555186,0.2,0.4783718854988077,3,-3.5639657740908888,-0.7401033030872595
2023,El Niño,2023-04-01,356.24673861060995,0.2,0.24635422539799,4,1.0631153309672072,-1.9869031896752922
2023,El Niño,2023-05-01,342.0732261989817,-1.0,0.0275439482381863,5,-13.110397080661073,-3.009713761062084
2023,El Niño,2023-06-01,344.330434802693,0.3,-0.1609838634234924,6,-10.853188476949754,-3.027261499808959
2023,El Niño,2023-07-01,356.0594211962787,-0.3,-0.3182095012211561,7,0.8757979166359746,-2.1578662956313
2023,El Niño,2023-08-01,360.6807154519028,-0.8,-0.4359103839229231,8,5.497092172260068,-1.2168456661024507
2023,El Niño,2023-09-01,355.2009802800112,-1.3,-0.5055794068403315,9,0.017357000368463105,-0.7493310197451463
2023,El Niño,2023-10-01,360.3871010302906,-0.5,-0.524398365536124,10,5.203477750647835,-0.7024928129043875
