YEAR,Month,Value,Date
1990,AUG,-0.2,1990-08-01
1990,SEP,-0.7,1990-09-01
1990,OCT,0.3,1990-10-01
1990,NOV,-0.5,1990-11-01
1990,DEC,-0.2,1990-12-01
1991,JAN,0.6,1991-01-01
1991,FEB,0.3,1991-02-01
1991,MAR,0.7,1991-03-01
1991,APR,-0.6,1991-04-01
1991,MAY,-1.0,1991-05-01
1991,JUN,0.1,1991-06-01
1991,JUL,0.0,1991-07-01
1991,AUG,-0.4,1991-08-01
1991,SEP,-1.5,1991-09-01
1991,OCT,-1.0,1991-10-01
1991,NOV,-0.7,1991-11-01
1991,DEC,-1.8,1991-12-01
1992,JAN,-2.9,1992-01-01
1992,FEB,-0.9,1992-02-01
1992,MAR,2.0,1992-03-01
1992,APR,-1.0,1992-04-01
1992,MAY,0.3,1992-05-01
1992,JUN,0.6,1992-06-01
1992,JUL,-0.6,1992-07-01
1992,AUG,0.4,1992-08-01
1992,SEP,0.1,1992-09-01
1992,OCT,-1.4,1992-10-01
1992,NOV,-0.7,1992-11-01
1992,DEC,-0.6,1992-12-01
1993,JAN,-0.9,1993-01-01
1993,FEB,-0.7,1993-02-01
1993,MAR,0.5,1993-03-01
1993,APR,-1.2,1993-04-01
1993,MAY,-0.3,1993-05-01
1993,JUN,0.8,1993-06-01
1993,JUL,-0.8,1993-07-01
1993,AUG,-0.9,1993-08-01
1993,SEP,-0.7,1993-09-01
1993,OCT,-1.1,1993-10-01
1993,NOV,-0.1,1993-11-01
1993,DEC,0.2,1993-12-01
1994,JAN,-0.1,1994-01-01
1994,FEB,0.3,1994-02-01
1994,MAR,0.7,1994-03-01
1994,APR,-1.3,1994-04-01
1994,MAY,-0.7,1994-05-01
1994,JUN,0.4,1994-06-01
1994,JUL,-1.3,1994-07-01
1994,AUG,-1.2,1994-08-01
1994,SEP,-1.6,1994-09-01
1994,OCT,-1.1,1994-10-01
1994,NOV,-0.6,1994-11-01
1994,DEC,-1.2,1994-12-01
1995,JAN,-0.4,1995-01-01
1995,FEB,-0.1,1995-02-01
1995,MAR,0.8,1995-03-01
1995,APR,-0.7,1995-04-01
1995,MAY,-0.4,1995-05-01
1995,JUN,0.1,1995-06-01
1995,JUL,0.4,1995-07-01
1995,AUG,0.3,1995-08-01
1995,SEP,0.3,1995-09-01
1995,OCT,0.0,1995-10-01
1995,NOV,0.0,1995-11-01
1995,DEC,-0.5,1995-12-01
1996,JAN,1.0,1996-01-01
1996,FEB,0.3,1996-02-01
1996,MAR,1.1,1996-03-01
1996,APR,0.8,1996-04-01
1996,MAY,0.3,1996-05-01
1996,JUN,1.2,1996-06-01
1996,JUL,0.7,1996-07-01
1996,AUG,0.7,1996-08-01
1996,SEP,0.6,1996-09-01
