dates,nzd0330-0000,nzd0330-0001,nzd0330-0002,nzd0330-0003,nzd0330-0004,nzd0330-0005,nzd0330-0006,nzd0330-0007,nzd0330-0008,nzd0330-0009,nzd0330-0010,nzd0330-0011,nzd0330-0012,nzd0330-0013,nzd0330-0014,nzd0330-0015,nzd0330-0016,nzd0330-0017,nzd0330-0018,nzd0330-0019,nzd0330-0020,nzd0330-0021,nzd0330-0022,nzd0330-0023,nzd0330-0024,nzd0330-0025,nzd0330-0026,nzd0330-0027,nzd0330-0041,nzd0330-0042,nzd0330-0043,nzd0330-0044,nzd0330-0045,nzd0330-0046,nzd0330-0047,nzd0330-0048,nzd0330-0049,nzd0330-0050,nzd0330-0051,nzd0330-0052,nzd0330-0053,nzd0330-0054,nzd0330-0055,nzd0330-0056,nzd0330-0057,nzd0330-0058,nzd0330-0059,nzd0330-0060,nzd0330-0061,nzd0330-0062,satname
2022-08-03 22:01:06+00:00,335.0733333,342.5427273,337.2061538,342.12,338.6227273,342.0227273,340.7727273,346.67,347.3361538,342.06,343.19,340.24,336.98,321.93,326.4633333,332.9533333,340.1033333,342.17,347.7427273,341.5027273,341.7727273,335.93,335.53,342.3361538,336.51,341.1327273,346.7827273,359.45,348.08,357.8314286,339.43,342.5314286,338.38,338.27,337.51,341.6514286,354.35,355.8214286,353.22,360.22,374.17,380.05,361.07,354.3,348.2214286,358.95,366.39,361.7514286,352.72,353.61,L8
2022-08-04 21:54:34+00:00,328.8633333,340.7127273,332.9161538,341.88,337.3927273,335.1827273,339.2127273,346.39,340.6961538,343.24,340.54,340.1,333.68,325.79,322.0833333,331.2133333,335.2233333,338.86,348.2127273,338.6727273,344.2227273,333.34,336.72,336.2861538,334,337.5527273,349.0727273,361.94,346.35,349.3814286,337.38,342.0814286,336.92,336.21,332.41,338.7414286,351.56,349.8014286,356.99,350.66,376.15,377.41,360.8,353.14,341.3414286,354.35,364.78,360.3014286,349.8,349.32,L9
2022-08-06 20:28:32+00:00,330.6733333,341.0518182,336.2792308,,342.8018182,341.3918182,328.7518182,332.61,339.2392308,336.9,338.6,,,,,330.2933333,336.7733333,336.2,338.7118182,342.2918182,,,343.23,336.9292308,332.67,339.8318182,,,,,333.63,350.17,329.39,334.65,325.35,,331.95,345.45,339.19,338.66,,,,336.6,338.61,347.61,351.15,352.29,331.68,348.33,L7
2022-09-12 22:00:55+00:00,328.4033333,329.4309091,326.0030769,331.92,330.0809091,331.2209091,337.1309091,326.55,327.7930769,328.5,327.91,328.59,320.36,315.44,303.8233333,319.9133333,332.3433333,331.98,326.7709091,325.9809091,329.7209091,337.39,330.85,319.0430769,319.69,323.7609091,337.5509091,346.03,333.61,338.6042857,325.26,331.8742857,324.75,322.48,319.65,318.5342857,345.13,338.5742857,339.79,326.02,355.53,366.42,343.91,340.76,327.9042857,339.43,352.53,350.3842857,339.92,343.92,L9
2022-09-26 20:23:36+00:00,329.7333333,325.9472727,338.7676923,343.85,331.8672727,332.5472727,,,,,328.38,333.61,338.36,323.47,322.5033333,329.7233333,330.6833333,331.96,335.0172727,336.4572727,337.0972727,,,,328.66,330.9472727,340.5472727,348.72,335.96,349.5657143,335.78,342.8157143,329.22,323.55,320.84,,,,342.71,341.06,365.96,366.1,345.89,349.4,339.8157143,340.7,350.74,348.0757143,,,L7
2022-10-07 21:55:14+00:00,325.2077778,321.5936364,334.6338462,334.76,334.8436364,340.5736364,341.8836364,337.05,329.2738462,326.5333333,331.7233333,335.8733333,336.25,325.09,316.5377778,316.0177778,322.7177778,321.83,330.9236364,338.4536364,342.1536364,345.0433333,328.6433333,321.2138462,319.6433333,322.1336364,326.2536364,341.21,329.88,342.8342857,329.06,336.8442857,333.6,340.14,320.79,336.0442857,359.04,344.4842857,347.6,337.4466667,363.76,372.62,365.9766667,361.7666667,349.7642857,360.5966667,365.7466667,361.7742857,364.66,367.66,L9
2022-10-08 20:16:25+00:00,323.1411111,319.5172727,336.0661538,341.09,336.9472727,340.4972727,,,,,,,326.31,315.69,322.6511111,320.0611111,318.5111111,328.25,340.8372727,341.3372727,343.8972727,,,,,,330.3572727,331.95,333.97,339.7914286,328.01,330.3314286,330.29,328.85,320.29,,,,,336.6266667,353.5,356.28,338.9766667,344.6666667,330.2214286,350.7366667,352.1166667,351.7514286,,,L7
2022-10-15 21:55:23+00:00,331.9044444,324.8881818,334.04,338.12,335.3781818,337.7981818,340.5881818,332.4,325.61,333.2333333,333.9033333,332.7833333,331.98,326.19,318.9244444,328.7044444,329.3744444,327.85,336.8181818,341.1781818,339.2981818,333.6833333,322.9033333,322.04,322.2433333,325.9181818,335.3781818,347.87,336.07,347.6014286,334.91,338.9714286,329.85,338.43,325.57,332.2814286,346.05,342.8414286,347.6,342.0066667,369.39,373.04,353.7866667,347.1566667,333.5214286,350.7566667,358.6266667,356.8714286,345.56,348.17,L8
2022-10-22 22:01:15+00:00,328.6144444,327.1618182,337.6246154,340.12,338.0918182,338.3318182,340.2318182,329.65,335.6046154,335.8933333,338.4333333,328.2133333,329.98,325.47,312.6844444,320.9944444,329.8644444,331.3,342.1918182,343.1518182,336.4218182,342.9833333,333.0133333,326.1746154,322.3133333,332.9018182,340.7018182,347.3,336.96,347.4542857,333.74,344.2942857,341.11,343.64,330.26,337.4742857,368.3,349.8942857,347.84,341.9566667,376.04,378.7,364.5766667,356.8666667,343.7642857,361.7166667,364.2866667,358.2642857,348.76,362.79,L8
2022-10-25 20:14:17+00:00,,,321.6507692,329.05,323.7845455,312.0345455,333.6145455,332.85,332.4707692,334.2433333,,,,,,,306.3677778,315.68,322.9745455,324.0245455,327.9345455,330.4433333,332.2733333,327.2707692,329.5633333,,,,,,,323.4857143,317.16,321.01,314.56,338.7457143,348.59,346.0057143,,,,,,330.1466667,317.0957143,330.9066667,344.6666667,344.1857143,348.73,351.52,L7
2022-10-31 21:55:31+00:00,,,,,,,,,,,,,,,,,,,,,,345.5133333,351.2833333,340.2076923,350.2633333,346.6354545,359.6054545,360.27,346.99,360.9671429,338.61,345.6671429,341.15,341,339.37,344.0171429,365.83,353.5171429,354.68,361.2466667,376.12,379.97,365.9266667,359.5566667,353.6171429,361.3966667,368.2266667,367.0771429,355.61,367.51,L8
2022-11-07 22:01:16+00:00,,,,,,,,,,,,,,,317.2711111,323.7111111,336.7111111,340.36,,,,,,,,,,,,343.7485714,331.46,335.4585714,333.47,336.36,319.79,335.3085714,360.41,346.5585714,341.27,334.5866667,372.76,371.02,358.3866667,345.6566667,335.8385714,350.3966667,354.1966667,352.6085714,346.18,352.01,L8
2022-11-23 22:01:12+00:00,322.7288889,329.0827273,334.3830769,337.5,341.9427273,341.6627273,336.1727273,332.23,343.0530769,336.5566667,330.1266667,331.8466667,329.22,323.96,315.9588889,323.1088889,329.6488889,340.26,337.8327273,342.5027273,335.6427273,334.5766667,325.2666667,326.4230769,335.1366667,342.8627273,346.2527273,345.28,341.43,339.8228571,333.03,332.3028571,330.39,328.41,,,,,,,,,,,,,,,,,L8
2023-01-19 21:54:46+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342.19,332.8314286,321.69,329.3014286,329.39,331.64,314.25,328.0914286,339.45,339.9414286,338.04,327.1033333,356.81,364.63,343.4733333,336.3233333,326.8314286,343.3233333,341.5133333,348.1514286,,,L8
2023-02-03 22:01:08+00:00,324.8566667,323.2572727,330.8938462,336.63,340.8972727,346.5372727,339.5172727,334.27,332.0538462,331.9,332.94,331.54,317.09,320.28,316.3866667,321.7566667,328.0166667,334.69,339.7772727,344.4472727,339.0172727,335.79,329.53,321.9438462,330.11,331.6472727,334.7872727,336.4,345.53,344.2385714,334.62,340.2585714,335.22,337.37,316.94,326.4385714,346.86,344.9585714,344.35,333.55,362.61,372.81,350.01,341.82,330.3085714,344.02,346.94,349.9485714,342.9,342.85,L9
2023-02-04 21:55:14+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328.8842857,339.6666667,347.0566667,349.9742857,344.1,342.09,L8
2023-02-19 22:01:01+00:00,329.6944444,330.7727273,333.5707692,339.87,340.9327273,340.5027273,332.4827273,324.03,335.0807692,337.6333333,331.7033333,326.2333333,314.49,309.92,312.5944444,313.3944444,315.7844444,333.17,343.3727273,336.6927273,332.8827273,332.3133333,326.9133333,323.5707692,335.0233333,334.2827273,341.0927273,337.34,340.14,343.51,337.65,335.62,335.58,350.77,325.49,332.38,,343.43,344.41,335.9666667,364.38,365.26,354.6966667,357.3466667,338.86,347.9466667,356.0366667,353.48,349.78,356.81,L9
2023-02-20 21:55:01+00:00,325.9222222,333.11,331.5907692,339.36,336.42,,,,,,,,,,,,,,,,,,,,,,,,345.92,346.4185714,341.01,335.7785714,334.78,330.72,320.64,328.7485714,352.76,344.1185714,341.18,335.9533333,362.98,366.53,349.7533333,342.6833333,329.7885714,342.1733333,347.8233333,349.3385714,343.17,343.99,L8
2023-03-07 22:00:49+00:00,319.75,320.7309091,323.3461538,329.23,330.3609091,325.5809091,314.4909091,303.73,312.2561538,320.26,319.82,307.21,309.8,320.38,311.23,313.96,315.19,,330.8209091,338.6509091,335.5309091,328.46,318.82,318.2061538,321.28,326.7609091,336.1009091,334.32,332.66,337.8557143,340.14,325.0657143,331.19,323.97,315.97,314.5157143,343.04,335.6757143,341.82,337.29,361.95,359.74,345.3,338.19,329.0857143,334.05,344.8,345.3957143,336.23,342.66,L9
2023-03-08 21:54:50+00:00,313.4433333,312.6945455,324.0284615,332.73,329.9245455,322.8445455,312.3845455,300.86,309.2284615,323.33,323.64,306.24,307.2,310.39,317.4533333,319.1433333,314.2833333,316.51,325.6145455,332.4745455,338.0345455,326.94,322.42,316.9684615,315.75,329.6345455,338.5745455,334.87,336.9,336.5328571,338.95,325.3628571,322.24,323.32,316.56,321.2128571,334.18,337.7128571,335.94,323.75,360.85,354.27,340.48,331.12,321.6628571,337.15,343.07,343.7228571,336.01,343.98,L8
2023-03-15 22:01:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332.5242857,349.19,357.67,353.8142857,342.45,345.13,L8
2023-03-23 22:00:43+00:00,321.22,315.0763636,323.1446154,335.4,326.3563636,318.3963636,319.2663636,316.2,321.5546154,318.91,317.94,306.17,305.4,296.13,297.63,302.69,317.29,328.64,330.5363636,338.2963636,332.8263636,320.76,324.72,322.9246154,320.42,320.6063636,340.2163636,346.24,336.06,341.7514286,339.48,326.5014286,324.22,325.62,318.79,321.6814286,343.27,330.7514286,341.43,326.46,361.06,366.56,344.87,336.55,329.0514286,339.6,349.84,349.3614286,339.47,342.24,L9
2023-03-25 20:02:21+00:00,343.5877778,332.8927273,334.2284615,347.91,336.2527273,332.9727273,333.1827273,324.76,332.6884615,336.7333333,343.2933333,329.5433333,320.23,314.66,,,332.1177778,338.06,336.2827273,343.2927273,342.2227273,338.5533333,341.0033333,330.1684615,334.7733333,340.0627273,354.3627273,365.26,343.77,,,,334.64,336.62,332.8,344.6242857,354.19,359.2242857,356.83,361.1766667,380.42,382.24,360.0466667,357.5066667,345.0242857,363.6166667,368.3166667,364.5642857,358.19,360.45,L7
