date,coastal,SOI
2010-08-01,0.6027952268486009,1.8
2010-09-01,1.0156889141978893,2.2
2010-10-01,1.4152634503423616,1.7
2010-11-01,1.82815713769165,1.3
2010-12-01,4.607980946535767,2.9
2011-01-01,7.48046554900802,2.3
2011-02-01,8.334503407040929,2.7
2011-03-01,9.10589244010291,2.5
2011-04-01,7.20814683314268,1.9
2011-05-01,5.79644426388167,0.4
2011-06-01,5.21874478074337,0.2
2011-07-01,4.65968076480308,1.0
2011-08-01,3.13418785413358,0.4
2011-09-01,1.60869494346408,1.0
2011-10-01,0.6228644788980086,0.8
2011-11-01,-0.3958270011535987,1.1
2011-12-01,-1.38165746571967,2.5
2012-01-01,-2.4003489457712774,1.1
2012-02-01,-3.4190404258228844,0.5
2012-03-01,-4.37200987490342,0.7
2012-04-01,-7.75753764831905,-0.3
2012-05-01,-7.034487107090141,0.0
2012-06-01,-6.2873348811536,0.4
2012-07-01,-3.55665684955721,0.0
2012-08-01,-3.995483797832855,-0.2
2012-09-01,-4.4343107461085,0.2
2012-10-01,0.247770461901793,0.3
2012-11-01,-1.7353582620931094,0.3
2012-12-01,-3.654515091765596,-0.6
2013-01-01,-5.637643815760498,-0.1
2013-02-01,-7.6207725397554,-0.2
2013-03-01,-4.14739184268871,1.5
2013-04-01,-4.26833020488206,0.2
2013-05-01,-4.06383221685017,0.8
2013-06-01,-7.31423556409109,1.2
2013-07-01,-4.60114129705977,0.8
2013-08-01,-4.88327628565154,0.2
2013-09-01,-5.16541127424331,0.3
2013-10-01,-2.16450653338111,-0.1
2013-11-01,-8.79662176730131,0.7
2013-12-01,-5.14130168357607,0.1
2014-01-01,-7.34303162863562,1.4
2014-02-01,-7.669024556469687,0.1
2014-03-01,-7.963469781610133,0.9
2014-04-01,-8.2894627094442,0.8
2014-05-01,-4.90450652674411,0.5
2014-06-01,-3.9887026340705525,0.2
2014-07-01,-3.10244080245098,-0.2
2014-08-01,-7.85484798071822,-0.7
2014-09-01,-5.457854519415489,-0.7
2014-10-01,-3.1381834278322,-0.6
2014-11-01,-3.05541643505756,-0.9
2014-12-01,-2.97531934527565,-0.6
2015-01-01,0.407119399636346,-0.8
2015-02-01,-0.001169621860098169,0.2
2015-03-01,-0.36994680256656387,0.7
2015-04-01,-0.778235824063008,0.0
2015-05-01,0.144820544161655,-0.7
2015-06-01,1.2899258544494603,0.6
2015-07-01,2.39809228376024,-1.1
2015-08-01,1.4153319332345244,-1.4
2015-09-01,0.432571582708809,-1.6
2015-10-01,-0.5184868210257543,-1.7
2015-11-01,-1.50124717155147,-0.5
2015-12-01,-0.46268106205905446,-0.6
2016-01-01,0.610503917749775,-2.2
2016-02-01,0.7438449745511775,-2.0
2016-03-01,0.868583382526683,0.1
2016-04-01,-1.69353761854465,-1.2
2016-05-01,-3.02554560057873,0.4
2016-06-01,-3.136554783189386,0.6
2016-07-01,-3.243983024425505,0.4
2016-08-01,-3.354992207036161,0.7
2016-09-01,-3.4660013896468165,1.2
