dates,nzd0237-0000,nzd0237-0001,nzd0237-0002,nzd0237-0003,nzd0237-0004,nzd0237-0005,nzd0237-0006,nzd0237-0007,nzd0237-0008,nzd0237-0009,nzd0237-0010,nzd0237-0011,nzd0237-0012,nzd0237-0013,nzd0237-0014,nzd0237-0015,nzd0237-0016,nzd0237-0017,nzd0237-0018,nzd0237-0019,nzd0237-0020,nzd0237-0029,nzd0237-0030,nzd0237-0031,nzd0237-0032,nzd0237-0033,nzd0237-0034,nzd0237-0035,nzd0237-0036,nzd0237-0037,nzd0237-0038,nzd0237-0039,nzd0237-0040,nzd0237-0041,nzd0237-0042,nzd0237-0043,nzd0237-0044,nzd0237-0045,nzd0237-0046,nzd0237-0047,nzd0237-0048,nzd0237-0049,nzd0237-0050,nzd0237-0051,nzd0237-0052,nzd0237-0053,nzd0237-0054,nzd0237-0055,satname
2004-07-31 21:54:51+00:00,338.95,334.2633333,345.4333333,,331.54,330.1028571,320.4728571,330.3128571,317.8855556,314.0455556,316.52,306.19,,,,,,,,,,342.9245455,350.7445455,354.0566667,351.6345455,353.36,355.6655556,362.19,361.46,354.32,357.8,,,,360.6328571,345.3055556,348.0328571,335.59,338.79,341.1055556,349.7128571,329.3728571,346.76,368.04,358.55,,,,L7
2004-08-24 21:49:18+00:00,344.55,333.39,308.78,300.4157143,301.64,317.8057143,331.3657143,332.6957143,328.12,307.75,302.59,289.46,294.75,288.97,,,,,,,,,345.8763636,363.39,361.7763636,339.04,340.54,336.61,333.53,343.89,342.03,333.99,337.9,358.89,361.1657143,355.72,333.7857143,334.79,354.91,353.7,337.1757143,335.6457143,368.84,343.35,355.46,347.08,368.13,337.99,L5
2004-09-09 21:49:43+00:00,,,,,,,,358.9528571,346.3322222,328.8522222,311.98,301.28,299.93,295.69,293.8,299.94,317.88,332.26,343.2728571,345.6733333,346.2728571,343.0090909,360.9590909,360.9866667,362.9290909,354.68,350.0422222,344.75,349.28,355.03,339.32,343.7022222,362.4722222,385.39,382.5528571,365.8422222,352.0828571,345.29,360.32,371.9322222,368.6228571,364.1728571,384.89,375.13,362.24,350.7822222,354.7,352.3822222,L5
2004-09-25 21:50:07+00:00,339.91,338.9266667,332.4766667,325.3957143,315.47,318.7957143,325.7657143,324.7257143,317.0611111,309.1711111,302.03,293.73,281.08,277.81,278.58,282.47,296.65,307.44,311.4457143,320.9966667,328.9557143,327.0709091,342.4509091,344.4033333,346.6509091,340.91,341.8611111,340.02,333.01,331.26,336.14,341.4211111,352.5811111,360.91,367.6557143,351.0311111,339.8357143,327.65,338.09,343.2011111,360.6057143,354.7157143,356.12,354.54,345.68,352.5211111,343.75,341.1911111,L5
2004-10-27 21:50:47+00:00,345.95,347.8833333,352.2933333,343.4842857,329.94,327.1942857,319.2742857,319.3542857,308.3588889,308.9388889,310.72,301.3,283.9,278.29,278.55,284.21,297.38,284.96,284.5342857,273.7833333,279.3242857,335.4527273,344.5927273,334.6666667,340.8227273,343.48,347.5288889,348.75,346.13,344.86,349.26,352.3888889,353.3988889,359.84,363.6442857,349.9588889,342.8842857,325.75,343.28,341.4688889,355.5042857,336.7942857,336.79,356.54,352.82,363.3688889,358.11,350.0888889,L5
2005-01-15 21:52:09+00:00,,,,,,,,,,,312.72,308.66,289.83,276.03,278.53,281.29,290.21,291.58,282.54,292.0166667,294.11,325.6627273,336.9727273,339.8133333,345.4427273,347.5,339.5644444,341.27,338.87,342.25,350.05,361.3744444,342.0644444,331,336.61,340.0944444,335.43,338.57,341.91,347.9444444,341.37,338.13,354.57,358.44,357.87,344.4944444,341.84,355.2744444,L5
2005-01-23 21:55:25+00:00,364.47,356.2133333,350.1733333,348.7814286,340.87,,,,329.3922222,325.8322222,327.26,319.54,298.91,290.8,292.2,303.67,311.7,310.79,307.6014286,,,338.9018182,345.8218182,348.1366667,353.0418182,,,,353.17,355.18,352.95,353.0622222,354.9222222,358.77,358.1214286,348.3822222,358.8614286,351.57,360.7,,,347.7314286,355.44,368.07,353.1,361.2822222,358.05,363.5022222,L7
2005-02-08 21:55:35+00:00,340.76,354.0366667,355.2666667,334.0314286,327.22,335.4914286,335.7514286,341.8714286,324.7977778,,,,294.48,288.61,286.93,294.58,305.04,309.67,303.9814286,304.4066667,302.3214286,337.4990909,344.9890909,344.8333333,349.4190909,347.44,355.9877778,356.29,,,,359.1877778,357.2877778,356.23,361.0014286,350.2877778,329.2114286,319.56,344,342.1677778,356.2414286,337.3514286,340.72,,,364.2677778,363.88,362.3177778,L7
2005-02-24 21:55:41+00:00,358.05,359.6533333,355.6233333,341.1071429,334.59,337.7671429,334.4271429,,,,323.56,319.48,302.21,295.61,297.28,301.76,311.91,315.01,321.9471429,326.6933333,317.3471429,347.3772727,343.2472727,343.8666667,352.0472727,360.52,361.0022222,,,354.96,358.47,362.0622222,357.3922222,360.94,362.1871429,356.5822222,361.2271429,352.42,364.83,362.4322222,373.4571429,,,367.51,354.28,365.7622222,369.43,378.8822222,L7
2005-03-28 21:55:42+00:00,,,,310.7185714,328.9,327.4685714,321.2985714,327.9285714,319.7733333,315.1333333,311.4,304.38,301.58,,,299.26,302.1,292.32,298.5585714,319.41,316.2985714,349.3145455,340.5645455,340.75,343.6745455,336.09,346.1533333,353.26,348.82,344.22,342.98,343.4333333,348.0633333,,,344.2833333,347.7385714,335.22,348.82,349.0533333,358.8785714,348.4585714,352.65,362.17,354.41,365.7933333,356.9,,L7
