Year-Month,nzd0263_Average_Value,month,climatology,monthly_anomaly,Value,Smooth_Value
2019-11,-0.0008495723677028806,11,-0.0008495723677044195,1.538916563625925e-15,-0.8,-0.4804826738002729
2019-12,-0.0008495723677028561,12,-0.0008495723677043641,1.5080168017100881e-15,-0.6,-0.38210041537928074
2020-01,-0.0008495723677028193,1,-0.0008495723677044302,1.6109075878789625e-15,0.2,-0.2413487188431873
2020-02,-0.0008495723677027706,2,-0.0008495723677042161,1.4454583363576745e-15,-0.1,-0.09536134017125916
2020-04,-0.0008495723677027344,4,-0.0008495723677042728,1.5383744625396822e-15,0.2,0.1971248385757347
2020-06,-0.0008495723677027104,6,-0.0008495723677043518,1.6413736689258052e-15,0.4,0.47792244886096236
2020-07,-0.000849572367702675,7,-0.0008495723677044277,1.7527212320400665e-15,0.4,0.6179138704301294
2020-08,-0.0008495723677026282,8,-0.0008495723677041971,1.5689489638037735e-15,1.1,0.7575848733663527
2020-09,-0.0008495723677025936,9,-0.0008495723677050704,2.476859863043135e-15,0.9,0.8789213111987942
2020-10,-0.0008495723677025592,10,-0.0008495723677044652,1.9060274192295168e-15,0.5,0.9898396158983586
2020-11,-0.0008495723677025254,11,-0.0008495723677044195,1.8941011953321762e-15,0.7,1.0998524765837652
2020-12,-0.000849572367702503,12,-0.0008495723677043641,1.8610330290713684e-15,1.8,1.1813777708541617
2021-01,-0.0008495723677024701,1,-0.0008495723677044302,1.9601291076365435e-15,1.9,1.1765531544297323
2021-02,-0.0008495723677024373,2,-0.0008495723677042161,1.7787420841797186e-15,1.5,1.0743636066181903
2021-03,-0.0008495723677024159,3,-0.0008495723677046583,2.242455353351769e-15,0.4,0.9185796396034375
2021-04,-0.0008495723677023841,4,-0.0008495723677042728,1.8886801844697487e-15,0.3,0.7852045643792674
2021-05,-0.0008495723677023527,5,-0.0008495723677043391,1.9864752204279412e-15,0.5,0.7109704419943351
2021-07,-0.0008495723677023321,7,-0.0008495723677044277,2.0956543791972315e-15,1.4,0.7239016038149334
2021-08,-0.0008495723677022915,8,-0.0008495723677041971,1.9055937383605226e-15,0.6,0.7566850065816636
2021-09,-0.0008495723677022517,9,-0.0008495723677050704,2.8187088080278144e-15,0.8,0.8070219776370486
2021-11,-0.0008495723677022323,11,-0.0008495723677044195,2.187161042555008e-15,1.0,0.963587756568226
2021-12,-0.0008495723677021755,12,-0.0008495723677043641,2.1885705053792393e-15,1.5,1.0573173854980003
2022-01,-0.0008495723677021112,1,-0.0008495723677044302,2.3190000267292454e-15,0.5,1.1468914325400508
2022-02,-0.000849572367702076,2,-0.0008495723677042161,2.1401066682691372e-15,1.1,1.2556828858385176
2022-03,-0.00084957236770205,3,-0.0008495723677046583,2.6083735865656266e-15,1.8,1.3580766260328212
2022-04,-0.0008495723677020162,4,-0.0008495723677042728,2.2565499815940804e-15,1.7,1.4166679048316753
2022-05,-0.0008495723677019833,5,-0.0008495723677043391,2.3558629005937526e-15,1.4,1.427518161102502
2022-06,-0.0008495723677019593,6,-0.0008495723677043518,2.3925089340237626e-15,1.7,1.4081451437509376
2022-07,-0.0008495723677019358,7,-0.0008495723677044277,2.4919302732406834e-15,0.8,1.3739826930596086
2022-08,-0.0008495723677018978,8,-0.0008495723677041971,2.2992675471900093e-15,1.0,1.3625663751255703
2022-09,-0.0008495723677018612,9,-0.0008495723677050704,3.209238430557093e-15,1.6,1.367964916853026
2022-10,-0.0008495723677018399,10,-0.0008495723677044652,2.6252871404564004e-15,1.7,1.3567904432052524
2023-01,-0.0008495723677018192,1,-0.0008495723677044302,2.6109756717795918e-15,1.4,1.0928996629157806
2023-02,-0.0008495723677017925,2,-0.0008495723677042161,2.4236255363740966e-15,1.4,0.847587532982428
2023-03,-0.0008495723677017666,3,-0.0008495723677046583,2.891675614236089e-15,0.2,0.5327750507926533
2023-04,-0.0008495723677017537,4,-0.0008495723677042728,2.519035327552821e-15,0.2,0.2115586662089429
2023-05,-0.0008495723677017292,5,-0.0008495723677043391,2.6098914696071063e-15,-1.0,-0.07816572101879019
2023-07,-0.0008495723677017001,7,-0.0008495723677044277,2.727635825539032e-15,-0.3,-0.48486529793819666
2023-08,-0.0008495723677016776,8,-0.0008495723677041971,2.5194690084218152e-15,-0.8,-0.6220276017753119
2023-10,-0.0008495723677016616,10,-0.0008495723677044652,2.803638397830266e-15,-0.5,-0.6584494509390807
2023-11,-0.0008495723677016412,11,-0.0008495723677044195,2.778268066994105e-15,-0.8,-0.5780909759935114
2023-12,-0.0008495723677016217,12,-0.0008495723677043641,2.742380975084835e-15,-0.2,-0.46469428118751244
2024-01,-0.0008495723677016078,1,-0.0008495723677044302,2.822395095414265e-15,0.5,-0.3565704511875111
2024-02,-0.000849572367701586,2,-0.0008495723677042161,2.6300576300153367e-15,-1.4,-0.27198567401973384
2024-04,-0.0008495723677015699,4,-0.0008495723677042728,2.7029160160063626e-15,-0.2,-0.07245371827115105
2024-05,-0.0008495723677015551,5,-0.0008495723677043391,2.7840143385082783e-15,0.5,0.007585581890153938
2024-06,-0.000849572367701538,6,-0.0008495723677043518,2.8138298982516297e-15,0.0,0.07003400067092042
2024-07,-0.000849572367701529,7,-0.0008495723677044277,2.8987229283572447e-15,-0.7,0.1464367916408292
2024-09,-0.0008495723677015231,9,-0.0008495723677050704,3.5472926679380734e-15,-0.1,0.38197285458673136
2024-10,-0.0008495723677015151,10,-0.0008495723677044652,2.9501141113330576e-15,0.5,0.5136270915969794
