dates,nzd0125-0000,nzd0125-0001,nzd0125-0002,nzd0125-0003,nzd0125-0004,nzd0125-0005,nzd0125-0006,nzd0125-0007,nzd0125-0008,nzd0125-0009,nzd0125-0010,nzd0125-0011,nzd0125-0012,nzd0125-0013,nzd0125-0014,nzd0125-0015,nzd0125-0016,nzd0125-0017,nzd0125-0018,nzd0125-0019,nzd0125-0020,nzd0125-0021,nzd0125-0022,nzd0125-0023,nzd0125-0024,nzd0125-0025,nzd0125-0026,satname
2021-02-12 22:05:43+00:00,410.75,387.1928571,391.2230769,390.7333333,379.2433333,377.9933333,384.9233333,388.1790909,392.8590909,386.4590909,382.0333333,382.0433333,411.2077778,408.3266667,384.9066667,360.2177778,357.4033333,360.2333333,361.4630769,372.4333333,374.5166667,370.655,382.02,,383.8077778,361.9266667,361.5866667,L8
2021-02-19 22:11:51+00:00,397.99,391.04,392.6769231,390.4766667,373.9066667,376.6666667,389.7666667,390.8127273,392.7027273,383.8727273,383.1266667,386.0666667,405.2155556,406.9033333,391.6333333,358.4955556,360.8566667,361.8366667,365.4269231,376.7366667,379.7733333,378.105,380.56,405.38,383.6655556,369.5233333,361.5033333,L8
2021-03-23 22:11:37+00:00,388.18,388.2057143,395.7592308,392.7366667,376.5566667,377.8166667,388.5066667,389.8645455,393.7145455,385.7845455,379.9266667,389.6366667,399.2855556,397.2133333,391.9533333,354.1455556,358.5966667,358.5266667,366.3492308,371.4566667,378.7533333,377.435,370.01,394.88,376.2155556,366.2933333,356.5533333,L8
2021-04-01 22:05:24+00:00,411.52,391.0485714,394.0423077,395.1466667,373.8166667,378.2766667,387.1766667,386.3890909,388.1590909,379.4290909,387.4366667,382.8766667,408.3955556,419.7833333,398.9633333,361.8755556,356.0366667,360.0966667,357.8723077,368.7666667,366.2333333,368.845,382.14,401.39,381.4755556,360.0933333,358.4233333,L8
2021-04-25 21:15:14+00:00,,,,,,367.8733333,372.5733333,372.8163636,376.0963636,373.1463636,366.1533333,362.1133333,388.1711111,382.7866667,364.4166667,342.7111111,346.4233333,345.9433333,346.07,357.3333333,358.0366667,358.485,371.02,384.65,366.6311111,,,L7
2021-05-02 21:20:50+00:00,399.78,385.1528571,391.0907692,386.4533333,373.7633333,374.4033333,382.3733333,387.5945455,393.3845455,385.7445455,380.4933333,381.6033333,394.1977778,399.4666667,383.7066667,349.1177778,353.4933333,353.2533333,352.8607692,,,,,,,,,L7
2021-05-18 21:19:29+00:00,380.48,374.7242857,388.1923077,,,,,,,,378.1966667,379.1866667,396.8655556,399.2533333,397.9133333,347.9055556,350.5066667,356.3466667,355.6923077,367.2766667,362.4333333,361.67,373.05,,,,343.7633333,L7
2021-05-19 22:05:16+00:00,,,,,,,,,,,,,,,,,,,,,382.1633333,378.485,395.28,412.98,389.5288889,367.3333333,362.4733333,L8
2021-05-26 22:11:31+00:00,363.47,367.5128571,375.5507692,376.0133333,358.3933333,362.3433333,369.3733333,369.0745455,370.8245455,364.7545455,357.6933333,366.8833333,386.7977778,392.1366667,364.4966667,341.5277778,342.5233333,343.3633333,341.9907692,355.5233333,353.8166667,359.26,366.61,376.29,353.0477778,344.4566667,350.2666667,L8
2021-06-11 22:11:38+00:00,378.78,379.5957143,386.2723077,382.2066667,365.6066667,366.5866667,373.7366667,376.1872727,375.6972727,372.3072727,361.4466667,376.7766667,403.8622222,406.6533333,383.6133333,351.5422222,351.4866667,348.9466667,351.5823077,358.3966667,363.2633333,362.665,377.62,391.22,368.6722222,354.5433333,356.5133333,L8
2021-06-19 21:16:49+00:00,,359.7485714,369.6015385,369.2333333,350.2233333,351.3733333,364.4633333,359.54,368.55,351.63,350.6533333,357.3833333,374.1344444,380.1066667,,321.2644444,326.2633333,326.9833333,,,,,,,,,,L7
2021-06-20 22:05:29+00:00,,359.03,366.2330769,365.0666667,348.1466667,350.5266667,362.3066667,389.8418182,384.0418182,355.0918182,344.8066667,344.0166667,365.1422222,354.8633333,,,,,,,,,,,,,,L8
2021-07-13 22:11:43+00:00,393.52,379.3928571,385.88,381.8,366.66,373.19,378.74,384.4718182,383.0618182,376.8718182,366.75,377.59,392.3933333,416.09,389.83,359.8233333,350.42,354.25,353.7,368.11,363.75,370.4,383.32,392.25,374.5033333,355.34,360.02,L8
2021-07-21 21:14:07+00:00,370.62,356.1371429,358.6869231,355.5666667,346.2666667,,,,,,,,,,,332.0722222,332.6866667,331.0866667,339.9269231,344.9566667,343.4533333,341.765,356.17,,,,,L7
2021-08-06 21:12:42+00:00,,,,,339.85,347.14,345.11,,350.2672727,,,360.86,,,363.98,332.56,335.1,330.33,340.2507692,344.47,345.06,348.87,354.69,,,340.35,345.93,L7
2021-08-15 21:05:43+00:00,400.41,378.67,378.4384615,382.24,360.73,364.04,,,,,,,,,,,,,,359.61,351.14,355.45,366.55,388.17,367.5066667,347.69,348.35,L7
2021-10-09 21:07:04+00:00,,,,,,,378.72,379.1281818,382.9081818,372.9781818,366.61,375.54,395.3766667,416.47,390.92,351.7366667,343.89,350.59,349.0615385,359.59,361.96,361.67,381.19,412.15,372.2066667,352.89,342.82,L7
2021-10-26 22:06:04+00:00,390.51,378.1971429,385.9984615,393.0133333,376.7333333,377.0633333,388.7233333,388.4127273,391.4427273,379.7827273,377.8833333,378.6733333,408.1377778,417.6666667,391.2466667,357.5277778,355.6833333,357.6133333,355.9884615,367.2433333,365.9866667,364.65,383.58,,380.9077778,360.2666667,361.4166667,L8
2021-11-06 22:12:48+00:00,382.99,373.8371429,380.0630769,380.9866667,369.7866667,372.9766667,382.3866667,384.0863636,385.3863636,368.5863636,366.8266667,378.7266667,400.5555556,414.6133333,,,,,,,,,,,,,,L9
2021-11-10 21:04:07+00:00,368.55,369.6842857,373.8123077,375.7466667,366.5466667,358.7166667,372.3466667,378.6163636,,,,,,,,,,,373.0023077,355.8766667,356.9533333,362.82,366.02,381.09,368.5755556,347.1233333,350.1233333,L7
2021-11-18 22:12:08+00:00,392.54,383.5,389.94,389.29,377.37,373.12,388.61,390.64,391.06,378.6,372.58,379.09,403.72,405.05,386.43,348.85,352.15,350.98,353.13,362.86,364.4,367.07,376.87,404.02,373.91,352.27,360.17,L8
2021-11-26 21:02:34+00:00,376.68,386.1471429,388.5692308,385.1066667,373.9966667,370.1166667,378.6666667,389.8754545,389.8154545,378.0554545,374.4366667,379.0166667,400.8022222,409.7533333,382.4533333,349.4822222,349.3166667,351.1966667,,,,,,,,,,L7
