dates,nzd0191-0000,nzd0191-0001,nzd0191-0002,nzd0191-0003,nzd0191-0004,nzd0191-0005,nzd0191-0006,nzd0191-0007,nzd0191-0008,nzd0191-0009,nzd0191-0010,nzd0191-0011,nzd0191-0012,nzd0191-0013,nzd0191-0014,nzd0191-0015,nzd0191-0016,nzd0191-0017,nzd0191-0018,nzd0191-0019,nzd0191-0020,nzd0191-0021,nzd0191-0022,nzd0191-0023,nzd0191-0024,nzd0191-0025,nzd0191-0026,nzd0191-0027,nzd0191-0028,nzd0191-0029,nzd0191-0030,nzd0191-0031,nzd0191-0032,nzd0191-0033,nzd0191-0034,nzd0191-0035,nzd0191-0036,nzd0191-0037,nzd0191-0038,nzd0191-0039,nzd0191-0040,nzd0191-0041,nzd0191-0042,nzd0191-0043,nzd0191-0044,nzd0191-0045,nzd0191-0046,nzd0191-0047,nzd0191-0048,nzd0191-0049,nzd0191-0050,satname
2002-10-07 21:47:33+00:00,308.56,301.6928571,294.0833333,279.0333333,259.3233333,278.25,279.73,316.1228571,269.3728571,276.2728571,285.1028571,286.6422222,284.41,285.7,287.0728571,283.5522222,283.1122222,275.87,272.2322222,269.0822222,271.23,275.1528571,276.7136364,288.03,281.1714286,290.9522222,292.58,293.35,292.7,297.18,299.4422222,300.2122222,303.0922222,304.18,309.1619048,320.9836364,320.45,321.0142105,331.5522222,326.77,326.34,311.9469231,314.6036364,316.31,317.6936364,324.5366667,332.4869231,332.1966667,344.2766667,342.9969231,345.3314286,L7
2002-10-14 21:53:43+00:00,302.91,306.2128571,303.1866667,297.2466667,,297.57,289.98,319.4528571,278.4228571,284.1628571,289.9628571,293.6311111,292.42,289.47,289.0928571,294.7211111,285.4711111,287.94,275.7911111,279.4311111,274.53,278.6728571,284.4136364,287.31,294.8814286,296.7911111,297.5,297.25,299.87,302.07,303.3511111,305.7611111,307.7711111,309.23,321.6452381,324.4236364,325.45,322.4236842,329.3911111,330.93,324.7386957,319.4507692,316.0936364,322.865,324.4936364,329.1733333,332.9907692,343.2933333,341.7433333,341.0207692,353.4814286,L7
2002-10-23 21:47:39+00:00,319.31,299.4671429,302.0266667,284.9266667,263.9866667,290.31,294.53,333.0571429,277.0071429,283.1571429,291.0571429,290.6211111,282.84,292.95,302.3571429,291.1711111,289.3611111,284.73,290.4411111,276.0011111,279.37,289.3571429,284.8972727,282.89,287.3885714,295.1211111,299,298.07,296.9,302.69,307.3211111,307.0511111,308.3311111,309.84,314.2780952,319.8872727,319.79,327.0110526,340.3411111,332.66,333.7408696,315.2269231,327.6672727,321.605,326.3672727,335.5133333,336.2869231,337.1933333,339.4633333,346.1169231,350.3885714,L7
2002-12-01 21:54:16+00:00,281.53,289.3628571,282.8966667,276.2966667,272.9566667,257.99,255.83,295.8128571,253.2628571,260.6328571,262.2828571,271.9277778,268.33,267.15,271.0828571,267.8577778,262.7077778,261.5,260.5977778,251.1077778,254.12,252.6428571,263.7072727,264.44,274.5814286,265.5977778,265.77,266.39,275.12,271.56,277.0677778,276.0877778,278.6977778,282.98,285.8952381,292.7872727,294.62,296.6415789,298.2377778,297.88,302.9543478,291.0592308,302.5472727,306.945,302.8272727,308.9733333,312.8992308,311.9933333,321.0833333,323.9692308,325.2714286,L7
2003-01-02 21:54:22+00:00,305.86,300.2471429,302.9033333,297.6033333,287.3233333,288.82,292.76,329.3671429,279.6971429,286.4271429,289.8371429,291.2922222,298.28,291.91,295.3871429,290.7122222,289.3922222,286.42,280.5422222,282.4922222,275.84,274.7471429,280.9581818,283.41,287.9785714,287.1422222,291.82,296.94,290.94,299.29,294.4722222,296.7622222,303.2322222,305.71,315.3647619,312.4681818,321.28,320.1352632,328.7522222,318.88,315.4191304,321.2484615,315.7081818,321.09,319.1781818,326.8266667,328.7684615,325.0266667,331.5966667,337.8184615,335.6685714,L7
2003-01-18 21:54:30+00:00,306.7,305.8157143,304.6466667,289.0066667,292.5466667,295.23,294.01,346.0057143,276.4257143,291.0557143,286.6657143,291.9844444,288.97,296.36,299.8057143,291.3744444,294.4044444,289.83,267.1344444,272.0244444,272.75,279.4657143,276.8127273,280.84,283.3928571,285.4544444,286.82,293.42,291.67,297.2,298.2744444,303.3044444,304.9044444,311.16,308.1638095,316.0027273,316.88,327.9852632,321.3244444,325.71,310.8834783,323.7015385,325.9427273,318.335,322.3427273,332.8433333,331.0815385,328.0933333,329.6133333,342.1015385,341.2628571,L7
2003-03-23 21:54:40+00:00,314.74,303.8828571,276.93,255.57,288.35,291.13,286.93,279.2628571,274.5528571,281.5728571,288.7128571,289.8933333,289.23,291.45,301.9028571,290.5433333,280.6233333,279.58,280.8833333,268.1433333,261.56,267.1928571,273.5490909,276.25,279.0914286,291.5333333,289.75,284.89,287.29,294.99,299.2533333,302.1633333,306.9933333,304.58,312.2285714,312.9090909,315.68,316.9615789,311.8333333,306.97,308.5247826,304.9607692,306.7490909,302.06,313.8090909,312.92,314.6607692,320.44,324.99,332.5307692,340.1914286,L7
2003-04-08 21:54:47+00:00,,276.45,274.8533333,250.2933333,256.5433333,277.69,273.49,257.47,268,273.58,276.51,287.1222222,285.9,285.02,294.47,292.1622222,287.3822222,275.27,282.6522222,274.1522222,265.75,277.8,279.6909091,283.09,287.14,286.4622222,287.45,287.93,289.65,295.99,297.9422222,303.6022222,302.5222222,306.31,311.7133333,312.7109091,314.84,323.0047368,315.5722222,314.29,308.0295652,323.1776923,316.4309091,315.7,316.0209091,316.5466667,324.7376923,323.6466667,331.2166667,336.4776923,340,L7
2003-04-24 21:54:46+00:00,,,,,,,,,,,,,,,288.2857143,295.0444444,289.0844444,276.2,272.2644444,272.2344444,267.06,266.1057143,276.4681818,280.05,287.0628571,285.0444444,291.41,289.15,281.79,283.03,286.6944444,291.3044444,295.8944444,298.25,302.3538095,305.9281818,312.92,324.4921053,311.4844444,311.2,313.3069565,314.5792308,311.4081818,308.49,309.1181818,307.3333333,311.2592308,317.4933333,321.7133333,333.6092308,332.5128571,L7
2003-05-03 21:48:37+00:00,297.48,283.9557143,279.8866667,267.1766667,251.8866667,269.48,267.65,276.8157143,267.4657143,277.2957143,281.9257143,277.9211111,273.81,277.6,278.0057143,276.6411111,272.9811111,271.42,267.2111111,265.9511111,266.39,271.0057143,267.5909091,272.2,264.7828571,285.4911111,289.04,276.11,272.5,277.24,290.0811111,292.2211111,297.5111111,299.87,302.9838095,,,,,,,,,,,309.5533333,305.7823077,311.6133333,321.2333333,318.9923077,328.9628571,L7
2003-05-10 21:54:46+00:00,,,,,,,,,,,,284.3344444,284.77,289.91,289.1557143,293.0644444,280.7944444,266.37,272.7344444,275.7044444,260.35,259.0957143,278.7381818,266.22,274.4728571,287.2144444,287.96,284.58,284.49,278.2,286.8244444,289.7544444,289.5544444,306.38,296.2638095,303.5481818,308.95,313.3221053,309.6544444,304.3,314.3569565,314.3592308,312.7081818,310.18,309.8281818,308.3233333,317.5692308,326.9633333,320.5633333,325.2592308,332.5728571,L7
2003-05-26 21:54:43+00:00,,,,,,,,,,,,272.2,268.21,278.91,287.97,289.33,281.67,271.05,272.35,278.87,265.49,252.95,283.2954545,274.78,273.85,287.24,288.66,275.46,282.53,274.6,281.44,290.26,289.64,293.31,300.81,298.9354545,310.77,319.8668421,303.56,299.92,308.2334783,309.2376923,299.7254545,290.005,287.8554545,291.89,312.1476923,319.64,,,,L7
2003-07-21 21:42:33+00:00,313.04,312.22,313.55,298.36,,296.23,289.6,313.5,282.5,282.4,276.83,290.8533333,295.32,302.81,299.06,299.2633333,295.6833333,293.58,284.3133333,280.4433333,272.89,270.69,273.9318182,286.11,295.26,301.5333333,304.61,302.67,301.28,303.96,306.1333333,298.9033333,297.8833333,301.77,312.34,306.3118182,314.05,325.8889474,325.5933333,323.39,321.9978261,319.4592308,316.1218182,311.755,321.7718182,325.67,316.1792308,321.2,,332.8592308,347.95,L5
2003-08-06 21:42:51+00:00,,294.6714286,289.8233333,285.8133333,259.3433333,,,,,,,,,,,,,270.65,267.2055556,264.6055556,251.07,250.9314286,,261.94,262.8057143,266.4255556,271.66,275.5,286.23,284.23,278.8655556,283.8955556,268.6455556,280.48,289.517619,289.0945455,295.74,302.7552632,309.9455556,293.76,293.076087,297.1192308,303.6745455,308.435,299.4545455,304.8766667,303.1792308,302.5166667,,,,L5
