dates,nzd0170-0000,nzd0170-0001,nzd0170-0002,nzd0170-0003,nzd0170-0004,nzd0170-0005,satname
2010-06-30 21:58:13+00:00,337.8766667,345.0305263,350.5811765,353.4,355.5685714,352.3966667,L7
2010-09-18 21:58:19+00:00,,,,,347.32,336.0233333,L7
2010-10-28 21:55:27+00:00,337.7433333,347.0342105,359.4482353,357.63,361.6985714,364.0033333,L5
2010-11-05 21:58:37+00:00,325.2233333,322.7315789,342.1752941,348.36,346.9185714,356.9733333,L7
2010-11-21 21:58:26+00:00,317.2066667,313.0705263,,,354.6857143,360.2666667,L7
2010-12-31 21:55:56+00:00,328.7566667,330.2689474,346.8235294,349.7,343.1457143,354.1166667,L5
2011-01-16 21:55:34+00:00,331.8466667,336.1821053,341.4052941,348.62,339.98,345.8566667,L5
2011-02-01 21:55:59+00:00,345.41,341.8794737,351.0794118,363.35,361.15,360.36,L5
2011-02-17 21:55:37+00:00,316.02,317.0636842,329.0064706,341.64,339.2214286,335.61,L5
2011-02-25 21:59:32+00:00,323.2,321.8242105,,,337.3914286,343.78,L7
2011-04-06 21:55:50+00:00,315.2366667,305.7905263,331.1811765,344.07,325.8685714,322.8666667,L5
2011-08-20 21:59:26+00:00,329.1666667,318.4642105,,,336.87,337.3866667,L7
2011-09-13 21:54:09+00:00,334.4966667,,,,,338.5966667,L5
2012-01-27 22:00:03+00:00,336.4466667,329.0926316,348.3976471,358.11,366.6057143,355.1666667,L7
2012-03-15 22:00:09+00:00,,330.1436842,338.5617647,353.53,351.7557143,347.7033333,L7
2012-04-16 22:00:05+00:00,,318.8478947,338.5229412,343.55,343.2142857,339.7833333,L7
2012-05-02 22:00:07+00:00,322.11,319.4094737,336.0335294,345.87,340.4771429,,L7
2012-05-11 21:54:32+00:00,,,343.6011765,353.09,349.81,366.56,L7
2012-05-18 22:00:44+00:00,,,,346.27,347.2585714,347.0233333,L7
2012-08-06 22:01:04+00:00,329.56,,,353.88,342.6142857,345.43,L7
2012-08-22 22:00:50+00:00,322.63,328.8663158,340.6194118,352.49,,,L7
2012-10-25 22:01:27+00:00,318.7066667,322.7031579,331.7505882,350.29,,,L7
2012-11-26 22:01:37+00:00,324.8433333,338.3557895,347.4823529,358.94,352.26,357.3433333,L7
2012-12-12 22:02:05+00:00,317.26,325.1605263,335.4247059,343.16,340.0271429,340.05,L7
2013-04-11 22:08:15+00:00,330.28,337.8278947,343.9194118,352.93,341.8157143,363.82,L8
2013-05-29 22:08:05+00:00,342.5633333,350.4115789,368.9270588,361.13,354.0442857,371.5833333,L8
2013-06-22 22:01:38+00:00,318.1733333,337.8794737,352.0488235,352.33,,335.4533333,L7
2013-06-30 22:08:00+00:00,335.9133333,348.3394737,362.3947059,355.43,355.5042857,365.8533333,L8
2013-07-08 22:01:03+00:00,,,351.9829412,347.06,342.8685714,345,L7
2013-07-16 22:07:36+00:00,328.2266667,345.7105263,359.0552941,350.71,343.3757143,352.8866667,L8
2013-07-24 22:01:20+00:00,328.5266667,336.5605263,340.3011765,,,,L7
2013-08-17 22:07:39+00:00,320.98,334.9536842,336.7005882,344.46,339.1185714,335.16,L8
2013-08-25 22:01:25+00:00,338.6733333,336.9415789,348.2370588,348.54,339.9342857,349.3533333,L7
2013-09-02 22:07:40+00:00,322.4966667,329.7847368,337.9064706,338.89,335.9342857,337.1466667,L8
2013-09-26 22:01:23+00:00,324.7466667,324.1368421,322.3688235,331.1,,,L7
2013-10-20 22:07:26+00:00,336.95,347.6910526,367.7311765,355.35,363.18,356.11,L8
2013-11-05 22:07:46+00:00,316.99,319.3673684,335.4747059,336.52,330.0885714,336.07,L8
2013-11-13 22:01:48+00:00,312.2166667,320.0373684,324.3176471,332.87,334.2685714,339.7766667,L7
2013-11-21 22:07:13+00:00,332.4233333,327.1657895,338.8141176,349.52,338.8657143,343.8933333,L8
2013-12-15 22:01:57+00:00,317.8733333,329.2915789,342.3252941,340.16,,,L7
2014-02-01 22:02:54+00:00,301.9366667,294.0910526,312.8917647,319.97,321.1685714,318.3166667,L7
2014-02-09 22:06:33+00:00,330.0466667,341.0936842,343.0311765,353.81,351.8671429,356.1266667,L8
2014-02-25 22:06:20+00:00,320.86,327.4426316,341.7752941,342.95,344.5614286,353.51,L8
2014-03-05 22:02:25+00:00,335.03,323.4636842,334.1082353,343.61,341.2371429,346.44,L7
