dates,nzd0233-0001,nzd0233-0002,nzd0233-0003,nzd0233-0004,nzd0233-0005,nzd0233-0006,nzd0233-0007,nzd0233-0008,nzd0233-0009,nzd0233-0010,nzd0233-0011,nzd0233-0012,nzd0233-0013,nzd0233-0014,nzd0233-0015,nzd0233-0016,nzd0233-0017,nzd0233-0018,nzd0233-0019,nzd0233-0020,nzd0233-0021,nzd0233-0022,nzd0233-0024,satname
2004-08-25 21:48:37+00:00,367.55,359.665,361.7544444,366.1694737,364.7588235,364.515,359.7233333,356.1230769,358.3414286,,,,,,,363.6314286,356.5014286,349.8314286,350.195,351.4644444,358.1388235,355.5314286,,L7
2004-08-26 21:36:59+00:00,369.89,362.105,360.3322222,353.6242105,354.7658824,352.205,350.3066667,345.8661538,349.5042857,347.6342857,351.4766667,357.395,356.825,355.6358824,360.215,363.3442857,355.7942857,350.6242857,341.165,342.2922222,349.2258824,345.4442857,288.5763636,L5
2004-09-03 21:42:23+00:00,,,,,,362.8,356.36,356.3569231,356.0457143,360.5457143,358.82,354.79,357.25,358.7005882,362.57,363.4457143,,,,,359.2405882,362.6657143,315.7709091,L7
2004-09-18 21:43:46+00:00,370.04,353.52,352.4511111,350.4715789,356.8370588,351.02,348.5933333,345.8653846,347.9842857,348.3742857,348.8533333,348.69,352.15,348.5470588,350.44,352.4842857,346.2842857,341.8642857,339.47,338.5011111,353.1370588,348.5842857,336.5990909,L5
2004-09-19 21:42:17+00:00,373.44,363.59,364.43,363.5989474,365.2905882,363.96,359.77,362.8769231,360.2857143,361.5657143,361.29,,,,,,357.4157143,352.4457143,350.93,352.16,359.5905882,366.2757143,345.8309091,L7
2004-10-04 21:44:07+00:00,,,,,330.9241176,331.805,323.61,321.6530769,319.2085714,326.3185714,331.7,328.675,331.935,330.9341176,332.435,335.7585714,323.5685714,318.8185714,316.875,318.27,333.5641176,334.2185714,331.9818182,L5
2004-10-13 21:38:08+00:00,359.32,350.705,348.4077778,347.8121053,352.0258824,351.815,341.6233333,336.0376923,337.6385714,339.0985714,340.3033333,343.255,340.805,343.3358824,346.865,347.7885714,341.1585714,337.3185714,342.045,343.5477778,359.2458824,350.6585714,338.34,L5
2004-10-20 21:44:28+00:00,361.76,355.95,356.1988889,357.0168421,358.3788235,354.54,353.5266667,352.58,350.4442857,354.3542857,354.3166667,357.43,356.49,358.6588235,362.09,367.4042857,353.4442857,348.1142857,349.23,349.3888889,360.5988235,360.4042857,367.3472727,L5
2004-11-06 21:42:35+00:00,357.02,,,,,,347.0533333,344.2915385,346.6742857,345.1342857,346.3233333,345.845,347.185,351.9741176,355.615,354.3642857,346.7942857,,,,,357.9542857,360.1581818,L7
2004-11-29 21:48:57+00:00,,354.31,350.2777778,343.7784211,350.6252941,347.46,345.2833333,344.8692308,343.15,344.91,362.4733333,,,,,,,354.46,353.94,,368.9452941,373.2,360.8072727,L7
2004-12-07 21:45:24+00:00,368.51,362.415,357.3822222,342.8536842,344.3011765,341.405,339.8066667,336.7446154,339.0171429,336.8271429,344.7966667,358.185,359.475,358.2711765,362.755,360.2771429,353.9171429,356.0971429,340.815,338.2122222,347.9711765,348.7971429,356.4718182,L5
2004-12-23 21:45:40+00:00,345.34,335.135,339.6744444,337.2242105,320.7064706,319.585,317.3933333,311.4223077,314.4228571,317.5928571,320.7233333,321.395,327.005,342.2264706,343.295,346.6028571,338.4828571,336.2028571,341.075,333.1444444,332.7964706,327.5128571,332.2354545,L5
2005-01-16 21:49:15+00:00,362.85,355.99,357.7522222,356.23,,,,,,,351.4266667,350.74,351.94,353.7705882,358.33,,354.6485714,353.9785714,356.52,360.4022222,,,,L7
2005-02-18 21:40:18+00:00,354.72,346.41,347.5877778,339.96,338.2494118,340.73,343.6833333,342.9338462,341.7514286,347.2414286,352.2033333,351.91,352.41,349.6394118,353.1,349.1914286,345.4514286,341.6814286,348.87,346.6777778,359.4294118,358.6414286,348.4409091,L5
