dates,nzd0018-0000,nzd0018-0001,nzd0018-0002,nzd0018-0003,nzd0018-0004,nzd0018-0005,nzd0018-0006,nzd0018-0007,nzd0018-0008,nzd0018-0009,nzd0018-0010,nzd0018-0011,nzd0018-0012,nzd0018-0013,nzd0018-0014,nzd0018-0015,nzd0018-0016,nzd0018-0017,nzd0018-0018,nzd0018-0019,nzd0018-0020,nzd0018-0021,nzd0018-0022,nzd0018-0023,nzd0018-0024,satname
2006-04-14 22:07:36+00:00,382.8072727,371.2672727,386.2033333,386.1933333,,,358.41,377.06,370.5733333,369.55,375.1672727,,,,,,,,,,,,,,388.67,L7
2006-06-17 22:07:34+00:00,384.7618182,377.5518182,369.93,371.91,373.15,357.68,348.09,,,343.46,361.4218182,378.7918182,377.9,380.52,383.93,381.06,383.5418182,385.03,392.67,395.22,386.74,382.5766667,376.5666667,,,L7
2006-06-25 22:10:20+00:00,380.0772727,370.4872727,366.3,363.9,360.18,343.68,335.47,347.66,348.91,332.25,358.2372727,371.8672727,365.91,371.75,374.7,373.01,365.8072727,379.17,378.21,384.96,369.73,368.4733333,362.4633333,362.0533333,374.55,L5
2006-07-03 22:07:28+00:00,367.3645455,354.5245455,351.9733333,342.9733333,333.65,333.52,317.03,333.07,337.0933333,,,349.7045455,347.88,350.0433333,358.78,364.17,360.0545455,371.18,365.83,371.79,349.07,353.7344444,355.0944444,353.3744444,366.41,L7
2006-07-19 22:07:20+00:00,360.2936364,354.1236364,350.98,341.5,,326.43,315.59,,,316.81,341.8836364,360.9736364,354.15,358.05,361.53,363.7,358.3136364,366.57,365.28,364.93,357.98,355.4033333,,,370.64,L7
2006-09-05 22:07:11+00:00,382.1054545,364.2354545,368.62,371.05,368.42,360.37,359.28,355.7,373.39,,,,382.99,380.65,383.11,377.28,374.4954545,,,,,,,,,L7
2006-09-21 22:07:05+00:00,395.3863636,390.0463636,385.24,381.89,386.85,378.86,376.24,375.1,382.99,,,387.0663636,391.75,,,,,,,,,,,384.81,387.88,L7
2006-11-24 22:07:37+00:00,402.8263636,404.4763636,395.9633333,397.3033333,406.08,395.81,,,391.0533333,,391.3863636,413.2963636,413.24,412.0833333,412.83,403.77,388.3363636,394.34,400.99,,,,,401.3811111,399.41,L7
2006-12-02 22:12:34+00:00,,,,,,,344.91,348.26,359.36,349.26,355.9172727,368.5572727,,373.39,377.68,365.19,355.0272727,361.77,,348.6,355.36,364.2166667,358.7066667,368.0766667,385.17,L5
2006-12-10 22:07:44+00:00,402.76,396.34,396.7433333,389.3833333,408.08,398.49,396.23,393.39,397.3133333,,,,427.93,420.0233333,426.97,414.25,401.44,403.87,412.84,421.36,417.88,414.9577778,410.6777778,410.3577778,413.38,L7
2007-02-28 22:08:05+00:00,383.5745455,,,,,,,,,,382.4745455,396.5745455,393.3,391.7833333,397.2,395.94,391.4545455,401.35,399.41,406.28,399.28,378.6244444,392.2344444,395.1344444,,L7
2007-05-03 22:08:02+00:00,,388.8763636,389.7333333,387.8533333,402.6,394.8,389.86,396.55,400.7633333,,407.8363636,418.2063636,414.92,,,424.52,419.1863636,412.82,414.55,413.95,413.51,409.7277778,416.5177778,418.7977778,415.1,L7
2007-07-22 22:07:45+00:00,373.4118182,361.4318182,352.2866667,352.8766667,365,371.05,355.68,373.72,377.0766667,,,377.2718182,383.88,390.8466667,386.51,384.59,385.5918182,389.39,394.33,397.06,402.85,385.1488889,392.6488889,394.7588889,,L7
2007-08-07 22:07:40+00:00,369.2490909,,,358.09,354.86,376.61,,367.21,372.34,,,368.7290909,386.99,384.51,,,381.9890909,389.24,390.32,416.13,417.73,,388.29,,390.99,L7
2007-10-02 22:10:31+00:00,388.5654545,371.8054545,365.3966667,362.5766667,365.88,357.33,357.68,365.67,361.5066667,354.75,359.6354545,375.8854545,388.43,391.0866667,383.42,389.77,385.7654545,386.15,392.38,393.18,389.94,373.6755556,386.1955556,386.3655556,384.23,L5
2007-11-27 22:07:48+00:00,393.3818182,380.4918182,377.17,,,356.21,352.81,365.21,367.18,367.85,374.0618182,379.7318182,386.11,379.74,384.42,390.91,,,391.28,400.32,387.12,353.1066667,378.2366667,386.8466667,385.16,L7
2007-12-29 22:07:56+00:00,,385.4918182,379.91,377.41,388.19,378.37,380.84,382.38,386.35,381.64,391.6118182,394.8618182,,,391.51,397.96,399.6818182,392.77,397.68,397.28,390.69,391.34,395.1,396.15,396.59,L7
2008-03-18 22:07:44+00:00,,,358.03,349.97,349.73,343.22,351.99,343.55,350.72,348.44,353.2145455,366.8745455,372.7,,,373.35,375.8245455,377.03,376.49,383.76,375.65,362.38,374.28,383.98,385.4,L7
2008-08-09 22:06:47+00:00,371.0409091,360.1709091,351.4266667,,356.85,342.37,355.57,357.73,355.1366667,,346.6709091,368.3609091,360.13,372.1466667,373.02,383.92,,,385.25,384,375.28,,386.2455556,382.5855556,387.51,L7
2008-08-25 22:06:40+00:00,,,,,,,,321.33,323.4466667,,,342.6763636,347.71,357.6466667,362.62,374.96,368.9463636,373.97,369.67,,,363.8688889,366.1888889,374.6588889,375.33,L7
2008-09-10 22:06:32+00:00,365.3990909,353.7490909,341.8133333,342.1633333,346.38,357.2,362.02,350.13,353.3733333,,356.3490909,375.6490909,346.88,328.2433333,,342.01,338.1290909,346.59,362.91,377.03,,365.6644444,368.1744444,387.5644444,381.47,L7
2008-09-26 22:06:23+00:00,375.0109091,369.8609091,362.93,357.86,356.02,370.86,362.19,384.15,368.7,369.81,,,388.05,377.2,374.28,387.37,380.7209091,373.22,369.85,383.52,377.54,378.6966667,396.9666667,396.3266667,391.98,L7
2008-10-12 22:06:13+00:00,371.6081818,366.9581818,360.2,349.15,350.57,359.28,368.23,,,,376.5181818,382.2381818,381.77,387.29,387.3,393.5,386.8081818,379.79,373.1,382.39,381.66,375.97,388.78,,,L7
2008-11-13 22:06:43+00:00,373.3209091,371.2109091,364.4333333,355.8833333,360.21,352.49,356.32,357.59,358.9233333,356.65,358.5309091,,,365.3333333,371.5,381.23,374.9509091,377.62,374.19,384.4,371.03,366.8111111,373.1811111,382.3611111,383.6,L7
2008-11-21 22:01:05+00:00,383.4409091,376.2909091,373.07,367.39,373.95,370.78,363.12,368.9,373.94,362.74,362.4009091,373.0009091,379.19,378.35,380.54,387.23,386.1409091,379.04,374.51,379.34,374.08,383.2166667,386.8766667,386.4066667,389.11,L5
2008-11-29 22:06:55+00:00,389.9636364,380.9536364,372.9966667,360.8366667,368.6,357.47,364.02,,,365.9,364.9636364,378.6536364,375.28,375.3066667,390.82,388.28,388.1136364,389.88,385.79,393.49,377.55,,,,402.92,L7
2008-12-31 22:07:13+00:00,397.5190909,391.8890909,388.6866667,378.5766667,385.07,,,381.7,391.2166667,388.59,384.5990909,390.5590909,392.96,390.9366667,399.22,403.79,395.7990909,392.27,401.67,,,,405.4922222,408.6922222,421.06,L7
2009-02-17 22:07:31+00:00,,380.6809091,380.0133333,372.7433333,378.61,367.97,368.36,365.45,373.5033333,372.96,379.1809091,387.0209091,,,399.99,404.37,403.0509091,399.51,397.51,400.75,392.73,388.7544444,393.2644444,398.0344444,397.01,L7
2009-03-21 22:07:47+00:00,387.8654545,382.6854545,378.6866667,376.4466667,377.59,373.4,374.71,371.98,,,382.7854545,393.9454545,390.38,395.8466667,398.88,399.92,396.8354545,399.23,397.22,401.04,391.05,393.0988889,393.1488889,399.2888889,,L7
2009-04-22 22:07:58+00:00,358.2336364,338.8236364,,307.8,310.93,,327.07,326.81,339.55,325.77,332.6236364,352.9436364,339.47,357.06,358.47,365.24,362.8236364,366.71,,,,367.0266667,379.4666667,382.6766667,379.15,L7
2009-05-08 22:08:01+00:00,370.1081818,362.7381818,352.9366667,345.9466667,348.16,341.43,338.56,,,335.01,357.3981818,368.3081818,372.96,374.7466667,378.07,371.01,375.4181818,384.52,383.04,380.46,365.59,374.4022222,,,,L7
2009-06-09 22:08:01+00:00,373.3818182,,,353.4633333,356.24,349.36,346.05,352.36,349.4233333,347.91,354.5218182,366.6118182,360.85,,,382.74,371.0118182,382.1,382.5,380.74,364.36,369.0244444,377.2144444,371.7944444,368.91,L7
2009-10-15 22:07:44+00:00,,,353.2366667,344.3966667,336.56,337.83,342.29,,,,,,,,,,,,,,,,,,381.65,L7
2010-01-27 22:08:26+00:00,383.7218182,384.0218182,383.7333333,384.6833333,387.49,388.13,,384.41,393.9733333,385.6,395.3918182,404.8518182,404.36,407.7533333,413.98,415.46,415.9118182,410.87,405.07,405.01,404.78,404.6144444,410.7244444,416.3144444,425.78,L5
2010-02-04 22:09:23+00:00,379.7709091,369.8609091,363.2333333,363.1133333,361.88,361.54,342.47,,,379.47,383.8009091,389.3009091,389.25,387.8933333,392.67,399.77,393.5509091,389.05,388.99,392.35,,,,,,L7
2010-02-20 22:09:33+00:00,387.9945455,,,380.5533333,392.07,379.36,375.26,372.4,386.6933333,388.36,395.2145455,407.4145455,404.56,401.1433333,,,412.3145455,410.8,412.64,417.88,407.42,407.7011111,403.6611111,402.5511111,398.15,L7
2010-03-08 22:09:41+00:00,376.6927273,367.5227273,370.8866667,,,375.87,362.45,365.32,375.7466667,376.91,383.6527273,395.4927273,393.06,388.4766667,393.98,399.7,,,400.7,401.08,390.62,397.7722222,388.8322222,386.4922222,382.92,L7
2010-03-24 22:09:46+00:00,383.7518182,379.6118182,381.1833333,377.3033333,381.69,380.44,,,,,,,,,,,,,,423.77,,,,409.3944444,412.96,L7
2010-05-27 22:09:43+00:00,,,,,,,,,380.2633333,379.01,369.1645455,378.7745455,386.18,388.4733333,390.83,394.95,,,389.63,390.81,,,,,,L7
2010-06-28 22:09:46+00:00,389.7063636,378.9863636,376.3966667,370.9366667,362.47,360.55,350.14,377.67,,384.5,395.5863636,400.0863636,399.93,396.2866667,397.25,405.6,399.6163636,401.59,396.21,398.05,382.85,391.0822222,395.0822222,,,L7
2010-07-14 22:09:48+00:00,,,352.14,345.38,337.54,332.07,323.07,,,,,,,,364.62,374.45,369.19,378.67,374.94,381.74,,,,,,L7
2010-10-02 22:09:49+00:00,414.5945455,410.9445455,411.6733333,410.4033333,392.35,407.97,390.91,414.65,413.5633333,405.94,417.1745455,,,411.0933333,408.27,407.03,418.2345455,416.42,413.2,408.66,411.09,401.6611111,401.2911111,410.5611111,417.35,L7
2010-11-27 22:07:24+00:00,401.8763636,394.8663636,381.59,376.56,391.89,381.29,384.23,385.19,401.28,409.13,410.8163636,419.7763636,414.28,410.62,416.51,411.4,413.4963636,412.05,412.99,415.51,411.89,398.8633333,401.7633333,415.8733333,420.93,L5
2011-01-14 22:07:31+00:00,388.2145455,379.9245455,375.53,372.38,381.59,380.96,379.85,380.51,387.08,383.17,396.6345455,405.3545455,397.16,400.95,402.85,404.6,406.8545455,401.48,397.32,401.24,396.65,387.21,394.8,399.36,403,L5
2011-02-07 22:11:00+00:00,391.5118182,381.1818182,371.87,375.87,375.76,378.94,,380.89,376.92,384.22,394.8818182,390.3618182,383.7,386.8,384.07,391.8,386.2318182,392.89,393.5,400.93,,,393.8933333,388.0833333,384.77,L7
2011-02-23 22:11:05+00:00,377.4027273,369.3027273,365.03,359.03,366.92,364.24,361.71,362.16,371.07,367.61,,381.3927273,375.11,371.94,373.98,376.52,368.3627273,376.17,375.4,380.9,,,371.7833333,362.8133333,365.74,L7
2011-04-12 22:11:12+00:00,,,,,,,,,376.3233333,372.06,371.9563636,376.2963636,373.19,380.3533333,375.45,385.72,,,387.82,387.03,391.1,390.2277778,387.0577778,388.4677778,380.32,L7
2011-05-30 22:11:11+00:00,,,357.23,355.12,355.76,345.71,351.79,348.36,357.95,350.19,355.9345455,372.0745455,376.62,,,384.8,385.8545455,375.18,385.07,372.68,381.41,374.53,377.85,379.27,382.53,L7
2011-07-17 22:11:06+00:00,,379.6963636,359.33,350.24,347.69,341.83,336.25,349.17,344.66,351.79,349.8863636,371.4963636,,,388.74,395.12,385.4263636,382.79,381.99,390.97,369.22,362.2966667,377.1566667,383.8866667,387.88,L7
2011-08-02 22:11:02+00:00,375.12,360.34,353.29,338.27,338.33,326.66,316.8,331.81,333.93,329.17,,,362.5,362.01,370.22,375.93,365.92,368.82,364.08,368.36,352.34,346.18,350.54,361.36,368.6,L7
2011-08-18 22:10:59+00:00,382.2327273,373.0527273,359.2833333,,346.64,344.8,338.96,342.07,355.1233333,348.08,353.7127273,375.4827273,377.07,377.5733333,385.73,387.37,,,377.13,387.38,372.5,364.0777778,371.1277778,376.9277778,379.43,L7
2011-10-21 22:10:56+00:00,387.9954545,384.5654545,380.2733333,389.8933333,,,383.66,369.78,386.7233333,374.78,392.3454545,,,386.5633333,397.98,403.27,391.1154545,384.75,387.46,393.96,381.7,381.7744444,392.5844444,386.4044444,391.28,L7
2012-02-10 22:11:42+00:00,387.0972727,378.7272727,384.74,367.68,372.8,365.65,353.52,371.64,374.4,378.41,377.9772727,,378.54,369.5,387.5,394.87,380.8972727,385.7,381.52,387.15,,366.7633333,366.6033333,380.8433333,378.15,L7
