dates,nzd0070-0000,nzd0070-0001,nzd0070-0002,nzd0070-0004,nzd0070-0005,nzd0070-0007,nzd0070-0008,nzd0070-0009,nzd0070-0010,nzd0070-0011,nzd0070-0012,nzd0070-0013,nzd0070-0014,nzd0070-0015,nzd0070-0016,nzd0070-0017,nzd0070-0018,nzd0070-0019,nzd0070-0020,nzd0070-0021,nzd0070-0022,nzd0070-0023,nzd0070-0024,nzd0070-0025,nzd0070-0026,nzd0070-0027,nzd0070-0028,nzd0070-0031,nzd0070-0032,nzd0070-0033,nzd0070-0034,nzd0070-0035,nzd0070-0036,satname
2005-02-15 22:01:25+00:00,433.35,425.3442857,415,408.18,432.5242857,,,,,,,,428.3,432.33,426.2042857,420.46,413.87,382.46,407.79,402.83,384.93,392,,,,,,,,385.34,387.52,390.55,393.3042857,L7
2005-02-22 22:07:14+00:00,455.1433333,441.0842857,418.7133333,412.36,388.0142857,412.57,415.8,366.58,391.73,383.75,372.7542857,,,,,381.88,,398.13,383.16,386.2,391.61,373.87,396.97,415.19,408.82,397.48,403.81,,,,,,,L7
2005-03-03 22:01:30+00:00,459.2533333,433.7657143,430.6733333,,,,,,372.27,372.07,384.0057143,411.0922222,429.84,434.34,428.7957143,414.98,418.8733333,392.35,408.76,,,,,,,,,401.96,411.12,398.3733333,399.27,392.89,384.7157143,L7
2005-03-11 21:58:44+00:00,,435.3257143,408.7033333,412.5,387.0957143,374.39,408.67,340.83,,391.44,374.5657143,365.8888889,375.01,373.45,372.0357143,368.06,,394.79,371.89,349.44,,375.48,397.89,417.51,407.38,385.42,408.3,,385.73,391.5033333,387.64,378.52,376.4057143,L5
2005-03-18 22:04:58+00:00,436.6633333,425.9057143,425.5733333,416.6,419.6557143,427.65,415.88,403.45,388.61,378.35,388.8157143,390.6988889,401.51,405.51,406.5057143,397.43,402.3933333,395.34,408.86,412.62,406.43,406.03,403.64,398.49,414.96,424.46,423.17,,,,,,,L5
2005-04-03 22:04:40+00:00,451.56,432.9985714,417.72,395.55,408.4485714,428.63,411.97,407.71,392.43,382.79,391.6385714,394.2566667,407.27,408.94,414.1085714,398.72,405.62,390.09,398.1,396.76,391.81,399.6,400.87,400.22,419.19,429.33,418.75,404.46,414.1,399.92,380.83,366,374.5285714,L5
2005-05-06 22:01:25+00:00,442.2433333,435.07,410.0533333,,,,,,,,359.17,365.9522222,365.67,359.62,357.24,361.17,,380.08,369.84,,,,,,,,,365.98,392.59,389.9133333,,,,L7
2005-06-06 22:05:05+00:00,451.3233333,435.0314286,412.9433333,416.36,387.4114286,406.16,406.2,386.48,368,401.51,379.0514286,377.2722222,372.09,369.66,368.8414286,373.5,,379.52,388.88,399.18,412.35,399,402.88,419.4,412.91,399.51,398.75,394.06,409.23,398.5633333,388.58,383.96,,L5
2005-06-14 22:07:26+00:00,437.1733333,440.0057143,451.9733333,,,442.68,,,,436.1,,,,,,,439.7233333,425.15,,436.18,,,,442.14,446.04,,438.71,,,,,,,L7
2005-07-16 22:07:25+00:00,,,414.9633333,404.08,,,,,,,,,,,,,,,,,,,,,,,,,344.39,,,,,L7
2005-08-25 22:06:05+00:00,428.3766667,427.89,430.2266667,418.92,400.17,373.1,378.96,376.31,365.88,370.42,375.61,369.8111111,366.05,370.11,369.71,368.2,384.7766667,390.52,404.47,406.43,399.69,398.96,394.61,380.13,382.7,374.14,371.1,359.04,359.04,374.2666667,373.83,362.89,373.97,L5
2005-09-02 22:07:10+00:00,,,,401.82,374.2414286,381.39,375.64,367.08,352.51,378.1,374.3214286,370.1811111,368.41,344.82,,,,,372.33,375.95,382.74,380.26,388.6,399.52,392.06,372.09,373.44,366.44,382.43,382.3566667,,,,L7
